rule,precision,recall,rule_coverage,Target,Sample size
"traffic==""rabrecNErab"" & extraversion>5.4",0.5699152542372882,0.1173647469458987,0.0944,0.4584,10000
novator<=4.4 & selfcontrol>5.7,0.5693069306930693,0.2410901467505241,0.202,0.477,1000
selfcontrol>6.4,0.5666666666666667,0.3541666666666667,0.3,0.48,100
"independ>4.8 & gender==""f""",0.5660377358490566,0.625,0.53,0.48,100
"selfcontrol>7.2 & coach!=""my head""",0.5652173913043478,0.1362683438155136,0.115,0.477,1000
stag<=26.94045175 & independ<=4.1,0.5629139072847682,0.1781970649895178,0.151,0.477,1000
anxiety<=4.0,0.5619469026548672,0.2662473794549266,0.226,0.477,1000
stag<=48.45995893 & age>36,0.5585585585585585,0.259958071278826,0.222,0.477,1000
"head_gender==""f"" & way==""bus""",0.5581395348837209,0.5,0.43,0.48,100
"head_gender==""f"" & industry!=""Retail""",0.5555555555555556,0.4166666666666667,0.36,0.48,100
"traffic==""empjs""",0.5555555555555556,0.3125,0.27,0.48,100
"extraversion<=3.8 & gender==""f""",0.5555555555555556,0.2083333333333333,0.18,0.48,100
extraversion<=3.8 & age>30,0.5555555555555556,0.1467505241090146,0.126,0.477,1000
"traffic==""rabrecNErab""",0.555152770585189,0.2338568935427574,0.1931,0.4584,10000
selfcontrol>7.2,0.5547945205479452,0.1698113207547169,0.146,0.477,1000
"coach!=""no""",0.5526315789473685,0.4375,0.38,0.48,100
independ>4.8,0.5517241379310345,0.6666666666666666,0.58,0.48,100
"head_gender==""f"" & independ>4.8",0.5517241379310345,0.3333333333333333,0.29,0.48,100
age<=28,0.5510204081632653,0.5625,0.49,0.48,100
age<=32,0.5507246376811594,0.7916666666666666,0.69,0.48,100
"extraversion<=3.8 & coach!=""my head""",0.5491329479768786,0.1991614255765199,0.173,0.477,1000
"industry==""Consult""",0.5480769230769231,0.1194968553459119,0.104,0.477,1000
novator<=4.4,0.5475285171102662,0.3018867924528302,0.263,0.477,1000
"way==""car"" & coach!=""my head""",0.546875,0.220125786163522,0.192,0.477,1000
"coach!=""my head"" & age>36",0.5462962962962963,0.2473794549266247,0.216,0.477,1000
"head_gender==""f"" & traffic!=""friends""",0.5454545454545454,0.5,0.44,0.48,100
"head_gender==""f"" & extraversion<=7.0",0.5454545454545454,0.5,0.44,0.48,100
"selfcontrol>4.9 & gender==""f""",0.5434782608695652,0.5208333333333334,0.46,0.48,100
"extraversion<=7.0 & way==""bus""",0.5428571428571428,0.7916666666666666,0.7,0.48,100
age>36,0.5394190871369294,0.2725366876310272,0.241,0.477,1000
extraversion<=3.8,0.5384615384615384,0.2916666666666667,0.26,0.48,100
stag<=48.45995893 & independ<=4.1,0.5371428571428571,0.1970649895178197,0.175,0.477,1000
extraversion<=3.8,0.5352112676056338,0.2389937106918239,0.213,0.477,1000
"traffic==""empjs""",0.5347985347985348,0.3060796645702306,0.273,0.477,1000
"head_gender==""f"" & way!=""car""",0.5333333333333333,0.5,0.45,0.48,100
age<=24 & stag<=33.41273101,0.5297532656023222,0.1592495636998254,0.1378,0.4584,10000
"way==""car"" & stag<=48.45995893",0.5294117647058824,0.2264150943396226,0.204,0.477,1000
stag<=48.45995893 & age>30,0.5287081339712919,0.4633123689727463,0.418,0.477,1000
"traffic!=""friends"" & gender==""f""",0.5277777777777778,0.7916666666666666,0.72,0.48,100
selfcontrol>4.9,0.5272727272727272,0.6041666666666666,0.55,0.48,100
stag<=23.22792608,0.5263157894736842,0.625,0.57,0.48,100
"way==""bus""",0.5256410256410257,0.8541666666666666,0.78,0.48,100
"age<=24 & coach!=""my head""",0.5252951096121417,0.1359075043630017,0.1186,0.4584,10000
age<=24 & extraversion>5.4,0.5219560878243513,0.1140924956369982,0.1002,0.4584,10000
"gender==""f"" & industry!=""manufacture""",0.5211267605633803,0.7708333333333334,0.71,0.48,100
independ>4.1,0.52,0.8125,0.75,0.48,100
"head_gender==""f""",0.52,0.5416666666666666,0.5,0.48,100
"coach==""yes""",0.5182266009852217,0.1147469458987783,0.1015,0.4584,10000
stag<=33.41273101 & extraversion>5.4 & anxiety<=4.0,0.5181119648737651,0.1029668411867364,0.0911,0.4584,10000
"coach!=""my head"" & independ<=4.1",0.5153374233128835,0.1761006289308176,0.163,0.477,1000
independ<=4.1,0.5147058823529411,0.220125786163522,0.204,0.477,1000
"coach!=""my head"" & selfcontrol>5.7",0.5145985401459854,0.2955974842767295,0.274,0.477,1000
stag<=36.94045175,0.5131578947368421,0.8125,0.76,0.48,100
selfcontrol<=6.4 & anxiety<=4.0,0.5131326073030109,0.1747382198952879,0.1561,0.4584,10000
"way!=""car""",0.5121951219512195,0.875,0.82,0.48,100
"stag<=48.45995893 & coach!=""my head""",0.5116279069767442,0.6918238993710691,0.645,0.477,1000
stag<=33.41273101 & novator>6.0,0.5106994570424784,0.3488219895287958,0.3131,0.4584,10000
"coach!=""my head"" & age>30",0.5087281795511222,0.4276729559748428,0.401,0.477,1000
"industry!=""IT""",0.508551881413911,0.9350104821802936,0.877,0.477,1000
"way==""car""",0.508,0.2662473794549266,0.25,0.477,1000
age<=31 & novator>6.0,0.5066505441354293,0.2742146596858639,0.2481,0.4584,10000
stag<=48.45995893 & selfcontrol>5.7,0.5063694267515924,0.3333333333333333,0.314,0.477,1000
age<=36,0.5058823529411764,0.8958333333333334,0.85,0.48,100
"industry!=""manufacture""",0.5058823529411764,0.8958333333333334,0.85,0.48,100
extraversion<=7.0,0.5057471264367817,0.9166666666666666,0.87,0.48,100
extraversion>5.4 & anxiety<=4.0,0.5054484492875104,0.131544502617801,0.1193,0.4584,10000
"coach!=""my head"" & anxiety<=4.0",0.5036496350364964,0.1956806282722513,0.1781,0.4584,10000
stag<=33.41273101 & anxiety<=4.0,0.5031303357996585,0.1928446771378708,0.1757,0.4584,10000
stag<=26.94045175,0.501466275659824,0.7169811320754716,0.682,0.477,1000
"age<=31 & traffic!=""youjs""",0.5011129660545354,0.3928883071553228,0.3594,0.4584,10000
"novator>6.0 & coach!=""my head""",0.5001491201908739,0.3658376963350785,0.3353,0.4584,10000
stag<=79.54004107,0.5,1.0,0.96,0.48,100
"traffic!=""friends""",0.5,0.9166666666666666,0.88,0.48,100
novator<=6.0,0.5,0.5208333333333334,0.5,0.48,100
age<=24,0.4997353096876654,0.2059336823734729,0.1889,0.4584,10000
novator>6.0 & extraversion>5.4,0.4971941638608305,0.2899214659685863,0.2673,0.4584,10000
stag<=33.41273101 & extraversion>5.4 & selfcontrol<=6.4,0.4952187771660388,0.3728184991273996,0.3451,0.4584,10000
independ>2.6,0.4948453608247423,1.0,0.97,0.48,100
