rule,precision,recall,rule_coverage,Target,Sample size
"highest_qualification==""GCSE/O Level"" & marital_status==""Single""",0.6352941176470588,0.2140309155766944,0.085,0.2523,10000
"age<=30 & highest_qualification==""GCSE/O Level""",0.5992141453831041,0.1208878319460959,0.0509,0.2523,10000
"gross_income==""5"" & marital_status==""Single""",0.5726872246696035,0.1030519223147047,0.0454,0.2523,10000
"age<=30 & highest_qualification!=""Degree""",0.5705128205128205,0.246928260007927,0.1092,0.2523,10000
"highest_qualification!=""Degree"" & marital_status==""Single""",0.5616740088105727,0.4042806183115339,0.1816,0.2523,10000
"age<=45 & marital_status==""Single""",0.5307855626326964,0.3963535473642489,0.1884,0.2523,10000
"region!=""Midlands & East Anglia"" & marital_status==""Single""",0.514752040175769,0.3250099088386841,0.1593,0.2523,10000
"marital_status!=""Married"" & age<=60",0.5095084320057409,0.5628220372572335,0.2787,0.2523,10000
"marital_status==""Single""",0.4956361966008268,0.4276654776060246,0.2177,0.2523,10000
age<=30,0.4785407725321888,0.2651605231866825,0.1398,0.2523,10000
"highest_qualification==""GCSE/O Level""",0.4154811715481171,0.3935790725326992,0.239,0.2523,10000
"marital_status!=""Married""",0.3738665426644966,0.6373365041617123,0.4301,0.2523,10000
age<=45,0.3683045595396193,0.6595323028141102,0.4518,0.2523,10000
"region!=""Midlands & East Anglia"" & gross_income==""10""",0.3575240128068303,0.1327784383670233,0.0937,0.2523,10000
"gross_income==""10""",0.3387806411062225,0.2136345620293301,0.1591,0.2523,10000
age<=60,0.3350641417226634,0.869599682917162,0.6548,0.2523,10000
"highest_qualification!=""Degree""",0.2843450479233226,0.9524375743162902,0.8451,0.2523,10000
age<=75,0.2776401711326278,0.9774078478002378,0.8882,0.2523,10000
"region==""South East""",0.2771349862258953,0.1993658343242172,0.1815,0.2523,10000
"region!=""Midlands & East Anglia""",0.2739949562379469,0.7320650019817677,0.6741,0.2523,10000
"marital_status!=""Widowed""",0.2698485543827443,0.9322235434007136,0.8716,0.2523,10000
"gross_income==""5""",0.2639942217407006,0.2897344431232659,0.2769,0.2523,10000
